<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ETF.CADOW;M;20111201;000000;406.8100000;409.9900000;382.4100000;398.6200000;0
ETF.CADOW;M;20120101;000000;403.9300000;421.6600000;402.8500000;416.0900000;0
ETF.CADOW;M;20120201;000000;418.4200000;427.9200000;410.9600000;422.9700000;25
ETF.CADOW;M;20120301;000000;423.0700000;425.8000000;407.1200000;413.7500000;0
ETF.CADOW;M;20120401;000000;413.4500000;418.2900000;395.6700000;407.4200000;0
ETF.CADOW;M;20120501;000000;410.0100000;412.3200000;373.8900000;382.7600000;0
ETF.CADOW;M;20120601;000000;377.8100000;393.1800000;372.5800000;385.2500000;0
ETF.CADOW;M;20120701;000000;393.7200000;396.7100000;377.2000000;387.2700000;67
ETF.CADOW;M;20120801;000000;387.9400000;404.8700000;380.8100000;396.8600000;18
ETF.CADOW;M;20120901;000000;396.9000000;417.2500000;395.2600000;410.0500000;0
ETF.CADOW;M;20121001;000000;413.3800000;415.9800000;403.9600000;413.5900000;0
ETF.CADOW;M;20121101;000000;413.8300000;416.6500000;391.3700000;407.5100000;0
ETF.CADOW;M;20121201;000000;407.8700000;414.5700000;403.1600000;413.8400000;0
ETF.CADOW;M;20130101;000000;418.5900000;429.3300000;413.8200000;422.1700000;0
ETF.CADOW;M;20130201;000000;424.8500000;426.9200000;419.0100000;426.0800000;0
ETF.CADOW;M;20130301;000000;424.9500000;428.9900000;419.1900000;423.3900000;0
ETF.CADOW;M;20130401;000000;423.4200000;423.6200000;395.0000000;413.1700000;0
ETF.CADOW;M;20130501;000000;411.0600000;428.0700000;407.0500000;420.7300000;0
ETF.CADOW;M;20130601;000000;420.8600000;421.7700000;391.5300000;404.1100000;0
ETF.CADOW;M;20130701;000000;404.1500000;426.4800000;401.5100000;416.7300000;0
ETF.CADOW;M;20130801;000000;420.4200000;428.2300000;414.2000000;422.6300000;0
ETF.CADOW;M;20130901;000000;422.5900000;433.0400000;422.4600000;426.8600000;0
ETF.CADOW;M;20131001;000000;425.8400000;450.2000000;422.9500000;446.0800000;0
ETF.CADOW;M;20131101;000000;446.1200000;451.8700000;443.6200000;447.5800000;0
ETF.CADOW;M;20131201;000000;447.6200000;456.3600000;436.1600000;455.5600000;0
ETF.CADOW;M;20140101;000000;455.5600000;468.4300000;450.3100000;457.4900000;2
ETF.CADOW;M;20140201;000000;457.4800000;477.8300000;449.0500000;475.1700000;1417
ETF.CADOW;M;20140301;000000;475.1700000;482.4400000;472.9100000;479.7000000;0
ETF.CADOW;M;20140401;000000;479.6600000;490.5800000;475.4500000;490.2800000;0
ETF.CADOW;M;20140501;000000;490.1500000;494.4200000;483.5400000;488.2800000;0
ETF.CADOW;M;20140601;000000;488.2800000;507.8900000;487.9200000;507.6600000;0
ETF.CADOW;M;20140701;000000;507.6600000;521.2000000;503.6200000;514.3600000;0
ETF.CADOW;M;20140801;000000;514.5000000;525.4400000;504.7100000;524.3400000;0
ETF.CADOW;M;20140901;000000;524.2900000;526.5000000;496.6700000;501.3900000;0
ETF.CADOW;M;20141001;000000;501.4300000;501.6500000;456.0500000;488.4800000;0
ETF.CADOW;M;20141101;000000;488.4300000;507.3500000;478.3600000;491.9100000;0
ETF.CADOW;M;20141201;000000;491.9000000;493.2200000;454.3500000;488.2400000;17653
ETF.CADOW;M;20150101;000000;488.1500000;495.7600000;461.2700000;487.8500000;216581
ETF.CADOW;M;20150201;000000;487.8100000;512.2300000;487.5300000;508.3700000;209496
ETF.CADOW;M;20150301;000000;509.6900000;510.2500000;487.5900000;497.6000000;211802
ETF.CADOW;M;20150401;000000;497.4500000;519.5800000;496.7500000;509.8200000;233230
ETF.CADOW;M;20150501;000000;509.9000000;516.6600000;499.5300000;502.1600000;210649
ETF.CADOW;M;20150601;000000;502.2100000;508.0800000;484.1300000;486.4000000;226608
ETF.CADOW;M;20150701;000000;486.2800000;492.7500000;464.3700000;482.5800000;238912
ETF.CADOW;M;20150801;000000;485.5500000;487.9300000;421.7300000;462.1000000;229654
ETF.CADOW;M;20150901;000000;461.9900000;462.7000000;430.2500000;442.1900000;219696
ETF.CADOW;M;20151001;000000;442.2900000;466.5000000;434.6700000;449.5500000;162620
ETF.CADOW;M;20151101;000000;449.2600000;458.8700000;432.8800000;447.6000000;226761
